City,Neighborhood,Postal Code
Vienna,Innere Stadt,1010
Vienna,Leopoldstadt,1020
Vienna,Landstraße,1030
Vienna,Wieden,1040
Vienna,Margareten,1050
Vienna,Mariahilf,1060
Vienna,Neubau,1070
Vienna,Josefstadt,1080
Vienna,Alsergrund,1090
Vienna,Favoriten,1100
Vienna,Simmering,1110
Vienna,Meidling,1120
Vienna,Hietzing,1130
Vienna,Penzing,1140
Vienna,Rudolfsheim-Fünfhaus,1150
Vienna,Ottakring,1160
Vienna,Hernals,1170
Vienna,Währing,1180
Vienna,Döbling,1190
Vienna,Brigittenau,1200
Vienna,Floridsdorf,1210
Vienna,Donaustadt,1220
Vienna,Liesing,1230
